UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,operational_hours,RUL,Vibration (mm/s),Pressure (Pa),Maintenance Required,Temp_Change,Vib_Change,Temperature_Mean,Vibration_Mean,Pressure_Mean,RPM_Mean
42,L47348,L,298.4,308.3,1433,62.3,20,1,Power Failure,224,4765.83358,-1.092948133,-0.774917884,0,0.903848947,-1.83356926,-0.560872308,-0.172558352,0.272550142,0.473769173
43,L47349,L,298.4,308.3,1318,59.1,22,0,No Failure,3346,1643.267543,-0.589430992,0.424768292,1,-1.363989003,0.355685198,-1.052367672,-0.061199203,0.507960096,0.262234804
44,M15030,M,298.4,308.2,1610,35,24,0,No Failure,3031,1957.410794,1.565590964,1.04170551,0,0.853513498,1.522362701,-0.622631941,0.224927909,0.713526147,0.243760186
45,L47351,L,298.2,308.1,1462,50.8,27,0,No Failure,4225,764.0213637,-0.081546648,0.547038726,0,-1.140075681,-1.163608295,-0.827882174,0.036685889,0.392128563,0.516260793
46,M15032,M,298.1,308,1924,20.8,29,0,No Failure,3071,1918.314112,-0.664456952,0.124156065,0,0.35579529,-0.411803003,-0.626844705,0.247849176,0.022626969,0.643735653
47,M15033,M,298.2,308,1591,33.7,32,0,No Failure,2117,2871.883795,-0.536152384,0.402131888,0,-0.44332848,0.090622653,-0.12387071,0.408986837,-0.266338817,0.271933978
48,L47354,L,298.2,308.1,1306,58.3,35,0,No Failure,2515,2475.196212,0.841204566,1.452598545,0,1.893585379,0.972994477,0.349956185,0.558677798,-0.305240879,0.08256915
49,L47355,L,298.2,308.1,1382,43.5,37,0,No Failure,4690,297.5601648,0.624380862,-0.565282412,0,-1.391866646,-0.153187348,-0.176349498,0.733230021,-0.569839449,-0.22503323
50,L47356,L,298.2,308.1,1618,34.7,39,0,No Failure,3196,1794.847781,0.97426979,-1.300469244,1,0.29660228,0.247157158,-0.217267009,0.7470444,-0.643540473,-0.370520842
51,L47357,L,298.2,308.2,1988,21.4,41,0,No Failure,1709,3280.307846,0.141231353,-1.320672863,0,1.423476023,-0.588501771,-0.026513726,0.382891936,-0.689365962,-0.077698156
52,L47358,L,298.2,308.2,1436,50.2,43,0,No Failure,817,4171.537487,0.212302421,0.207621577,1,-0.54639583,0.05019102,-0.268889057,0.410429692,-0.742518606,0.224361838
53,L47359,L,298.2,308.3,1304,49.8,45,0,No Failure,3661,1325.914108,1.71396568,0.129605698,1,-1.642993313,1.060808556,-0.591170518,0.305304563,-0.520632455,0.403103761
54,L47360,L,298.2,308.3,1475,49.9,47,0,No Failure,1116,3870.298585,0.693452756,-0.933787534,1,0.324519263,-0.720939935,0.032206336,-0.024714966,-0.808970075,0.416497859
55,H29595,H,298.2,308.3,1824,24.2,49,0,No Failure,3665,1321.121186,-0.846492529,-1.529596687,1,1.115815667,-1.087884098,0.34257134,-0.141961801,-0.917772186,0.451599632
56,M15042,M,298.1,308.2,1342,48.1,54,0,No Failure,4801,185.4541536,0.278920131,-1.586436086,0,-0.10811435,0.795012716,0.283267663,0.29837779,-0.394499434,0.289484864
57,L47363,L,298.1,308.2,1485,40.7,57,0,No Failure,4570,416.1693333,-0.313323222,1.317052331,1,-0.828952687,-0.418396177,0.292028193,0.381707149,0.09962362,-0.11880418
58,L47364,L,298.2,308.2,1667,30.6,59,0,No Failure,2060,2929.594286,0.063868034,-1.312082399,0,1.700958406,0.266444424,0.632068944,0.692166466,-0.388605803,0.032225817
59,L47365,L,298.2,308.2,1446,38.2,61,0,No Failure,1148,3838.406081,0.107218579,-1.477798092,1,-0.782325039,0.030608328,0.202194375,0.603045656,0.122330389,0.193878719
60,L47366,L,298.1,308.3,1301,56,63,0,No Failure,1457,3531.339288,1.355205426,1.086767075,0,-0.191373407,0.881603166,0.053153939,0.391384341,0.262785346,0.298722173
61,L47367,L,298.2,308.4,1379,43.1,65,0,No Failure,3526,1462.903402,0.695566926,0.884179182,0,0.132568163,-0.466006334,-0.171906973,0.131944588,0.324935486,0.153696427
62,L47368,L,298.3,308.5,1606,33.6,67,0,No Failure,215,4774.629388,1.238973363,-1.124094782,1,0.342490577,0.383864313,-0.450801885,0.116164125,-0.045041503,0.535659141
63,M15049,M,298.3,308.4,1539,43.4,69,0,No Failure,2195,2796.524026,-0.381736013,1.24259856,1,-1.021546767,-1.144938517,-0.302793899,0.182213136,0.12239853,0.414650397
64,L47370,L,298.2,308.4,1477,49.9,72,0,No Failure,1901,3092.46329,-0.951087995,-0.775523306,0,0.210735316,-0.402224957,-0.007396157,0.369185025,-0.298185741,0.186488872
65,L47371,L,298.2,308.4,1666,34.6,74,0,No Failure,2246,2747.478744,0.058006658,1.397517776,0,-0.460190165,0.712841837,0.05632333,0.451803711,-0.464470219,-0.457351544
66,H29606,H,298.2,308.4,1398,51.8,76,0,No Failure,1720,3271.841709,0.616664612,-0.965705764,1,-0.057794777,0.394638488,0.068461608,0.271274389,-0.51457914,-0.376986958
67,H29607,H,298.2,308.4,1678,34.6,81,0,No Failure,4880,114.1308395,1.569218416,-0.286894615,1,1.852066132,0.672899515,0.115550158,0.145450086,-0.231341736,-0.265677388
68,M15054,M,298.2,308.5,2678,10.7,86,1,Power Failure,3050,1945.360946,0.553123434,-0.860322794,1,-0.500360388,-0.717818956,-0.496751616,0.022936211,0.107359898,-0.544644111
69,L47375,L,298.3,308.5,1453,42.9,89,0,No Failure,3892,1103.197136,-0.537994563,-1.606945698,1,-0.608504455,-0.770817689,-0.707543764,-0.380407231,0.389653887,-0.716458053
70,H29610,H,298.3,308.6,1432,49.5,91,0,No Failure,3041,1954.674744,-0.844639953,1.146973171,1,-0.642586987,-0.216640351,-0.830967312,-0.11568645,0.381362775,-0.67627576
71,M15057,M,298.4,308.6,1527,40.9,96,0,No Failure,1077,3917.949381,-0.012456902,0.450481257,1,0.065793225,0.587865643,-0.507022859,0.335149138,0.046069857,-0.587135731
72,L47378,L,298.4,308.7,1588,35,99,0,No Failure,3166,1829.308745,0.956649042,1.406613555,1,-0.479610508,0.684592493,-0.421779137,0.256542908,-0.240848224,-1.100730095
73,L47379,L,298.4,308.6,1433,47.1,101,0,No Failure,883,4111.599703,-1.46359378,0.551147152,1,0.919421769,-1.709755329,-0.337793283,-0.127782073,-0.72341015,-0.748788633
74,L47380,L,298.4,308.6,1609,35,103,0,No Failure,340,4652.312343,0.785609344,-1.648401259,0,-0.299559488,1.588895386,-0.620847559,-0.149694228,-0.604420742,-0.436567599
75,L47381,L,298.3,308.5,1575,41.2,105,0,No Failure,1653,3339.371868,1.409537988,-0.529491418,0,0.939355428,0.440747857,-0.789784488,-0.592761311,-0.59102344,-0.343270782
76,M15062,M,298.4,308.5,1636,35.7,107,0,No Failure,4678,312.4467611,-0.405488054,-0.984109148,1,-0.77827879,-1.282210222,-0.801494345,-0.759054662,-0.505665079,-0.101253294
77,L47383,L,298.4,308.5,1490,37.9,110,0,No Failure,1112,3878.142934,-0.964975861,-1.006196074,1,-0.484058472,-0.395256578,-0.749030176,-0.8834746,-0.480129722,0.239141532
78,L47384,L,298.4,308.5,1741,32.8,112,0,No Failure,286,4706.42818,-1.573154556,1.14609419,0,-0.378472461,-0.429653428,-0.502425085,-0.653037176,0.0585291,-0.26244433
79,M15065,M,298.5,308.6,1344,53,114,0,No Failure,1981,3011.853007,-1.429726072,-1.581414749,0,0.103971992,0.101306687,0.099962992,-0.184040882,-0.342496101,-0.198245035
80,L47386,L,298.5,308.7,1609,35.3,117,0,No Failure,4686,305.5558471,0.578071231,-0.102699614,0,1.495327628,1.418358347,0.73764962,0.041932877,0.239444082,-0.074003233
81,M15067,M,298.4,308.7,1421,60.7,119,1,Power Failure,530,4461.349349,-1.027587741,-0.856432363,1,-0.551352378,-1.134306415,0.418149247,-0.382071171,0.108609121,-0.369135246
82,L47422,L,298,308.2,1348,58.8,202,1,Overstrain Failure,4390,587.6454762,1.13825654,0.143094901,1,0.976729522,1.410697841,-0.111290398,-0.1792085,-0.026854692,-0.061994732
83,L47423,L,298,308.2,1442,44.1,204,0,No Failure,4082,897.3587194,0.203809586,-1.073336563,1,-0.941261357,-0.660140094,-0.342092157,-0.693057002,-0.230166677,0.024374105
84,M15104,M,298,308.2,1395,49.1,206,0,No Failure,4423,556.5910807,-1.033887878,0.171872674,0,1.428513,-0.874366262,-0.333263743,-0.604301417,-0.151868218,0.280709421
85,M15105,M,297.9,308.1,1627,31.4,209,0,No Failure,4113,868.0451663,-1.240067202,0.580934872,0,-0.783673314,-0.145667806,-0.491325229,-0.395576989,-0.227916319,-0.056914212
86,L47426,L,297.9,308.1,1585,33.5,212,0,No Failure,4656,326.3848122,0.035846456,0.043160655,1,0.413697346,0.901331588,-0.519266717,0.100811037,-0.678323216,-0.547415304
87,L47427,L,298,308.2,1469,45.5,214,0,No Failure,4813,172.1384283,-1.430985969,-0.873465022,0,-0.933518815,-1.036234761,-0.260202657,0.27331875,-0.63085973,-0.425482829
88,L47428,L,298,308.3,1362,56.8,216,1,Overstrain Failure,3192,1791.328309,0.647587509,-0.681844271,1,-0.093902738,1.468356974,0.14188474,0.422384517,-0.287177652,-0.347889436
89,L47429,L,298,308.3,1405,56.2,218,1,Overstrain Failure,4259,724.5575723,0.00973426,-0.208367829,0,0.838371978,-0.450616513,0.559011548,0.244023534,-0.49089082,-0.195473842
90,L47430,L,298,308.3,1662,32.7,0,0,No Failure,2174,2810.615125,1.241872929,-1.671099611,1,-0.323554701,0.87040749,0.846159308,0.543229986,-0.708595062,0.275167036
91,M15111,M,298,308.2,1466,42.6,2,0,No Failure,384,4597.352579,0.898385021,0.280478084,1,1.428580501,-0.242667122,0.658125373,0.57612608,-0.082457557,0.19480245
92,L47432,L,298,308.2,1620,35.8,5,0,No Failure,1287,3695.675334,-0.685657133,0.844945366,0,-0.427772583,-1.119035581,0.389922592,0.733571796,-0.286763194,0.528269294
93,L47433,L,298,308.2,1357,48.2,7,0,No Failure,4069,912.2809016,-0.244217409,-1.700410108,1,-0.040721725,0.311831662,0.264988737,1.025499818,-0.464172643,0.225285569
94,L47434,L,298,308.2,1514,37.9,9,0,No Failure,3065,1917.824996,1.505766523,-1.296889041,1,0.378751782,1.236230473,0.412321378,1.30567559,-0.309638275,0.073793706
95,L47435,L,298,308.2,1489,40.4,11,0,No Failure,4419,565.1552392,1.406353399,1.459587914,1,-2.00384939,-0.070244639,-0.010163658,0.994425831,-0.015196095,-0.399156499
96,L47436,L,298.1,308.3,1331,63,13,0,No Failure,883,4097.328868,1.685613602,-0.741050102,1,1.14509465,0.197262696,0.098575464,0.630399501,-0.093027529,-0.266139254
97,L47437,L,298,308,1615,29.5,15,0,No Failure,1049,3932.038281,0.773982974,-0.04210188,0,0.078842083,-0.644021889,-0.213604131,0.135314827,0.011557882,-0.324796164
98,L47438,L,298.1,308.2,1482,37.9,17,0,No Failure,4039,944.9036868,1.156661452,-0.927738264,0,0.922042521,0.270320778,-0.606020782,-0.151029853,0.1098286,-0.402851423
99,M15119,M,298.1,308.2,1420,63.9,19,1,Power Failure,144,4838.985874,-0.050482273,0.175321855,1,-1.636186134,-0.852782092,-0.628408161,-0.340425269,0.510137476,-0.442109985
100,L47507,L,297.7,308.5,1373,56.7,203,1,Overstrain Failure,4142,825.3235602,-1.654778231,1.333986955,0,0.030133739,-1.259725371,-0.110613526,0.196775413,0.095198409,0.766129993
101,H29742,H,297.6,308.4,1703,31.4,205,0,No Failure,3467,1500.213597,0.315795718,0.119706432,1,-1.006717859,1.392062541,-0.55189237,0.645934207,-0.159266403,0.504714157
102,H29743,H,297.7,308.5,1720,29.9,210,0,No Failure,917,4048.136221,1.668419438,-0.384250888,0,0.235485951,0.955522107,-0.266254091,0.743560512,-0.090827601,0.765668128
103,M15190,M,297.6,308.4,1398,41.9,215,0,No Failure,111,4852.911684,-0.521402216,-0.214898126,1,-0.485592146,-1.546978212,0.009222287,0.335716533,-0.164767707,0.47099798
104,M15191,M,297.6,308.4,1391,51.9,218,0,No Failure,294,4669.661776,1.175842356,-0.37855233,1,1.483727731,1.198973649,0.421127023,0.633403081,0.192561001,-0.013036995
105,M15192,M,297.6,308.3,1538,40.2,0,0,No Failure,2637,2328.317288,0.591015741,0.061662898,1,-1.78741692,-0.413156749,0.055599416,0.62643806,0.038693687,-0.001028494
106,L47513,L,297.5,308.2,1647,31.3,3,0,No Failure,2942,2022.860753,0.803927241,0.461900439,1,1.563740966,0.150391783,0.274564556,0.367600718,-0.237941386,-0.036592133
107,M15194,M,297.5,308.1,1469,44.8,5,0,No Failure,2329,2633.846582,-0.370800459,-0.753951415,1,0.199552355,-0.829882343,0.198990731,0.396792333,-0.019824083,0.01883172
108,L47515,L,297.4,308.1,1749,25.9,8,0,No Failure,3109,1853.755521,0.967030524,1.571745415,0,-0.003166483,0.945072029,-0.150475736,0.319306532,-0.106131109,0.2262093
109,M15196,M,297.6,308.2,1995,20.5,10,0,No Failure,4851,112.6937547,1.141017255,-1.1478889,1,-1.265358461,0.122894041,-0.431331046,0.138254925,-0.078548703,0.360612141
110,L47517,L,297.6,308.3,1742,27.7,13,0,No Failure,2177,2787.267837,-0.70317097,-1.321512467,1,0.279413659,-1.302811351,-0.474416173,-0.297233606,0.112826293,-0.045829441
111,L47518,L,297.5,308.2,1563,38.2,15,0,No Failure,3967,997.2360187,0.949885316,1.552486951,1,0.522218819,1.167757586,-0.414976304,-0.140962234,0.713509673,0.070098783
112,M15199,M,297.5,308.2,1713,32.2,17,0,No Failure,4973,-7.710351804,-0.758229466,-1.185486545,0,-0.768962124,-1.20668458,-0.790081677,-0.355562852,0.406758746,-0.100791428
113,L47520,L,297.4,308.1,1474,39.4,20,0,No Failure,543,4422.252466,0.061772489,1.709657444,1,0.239450109,0.579260515,-0.426038614,-0.414607638,0.84209899,-0.375601362
114,M15201,M,297.4,308.2,1530,32.6,22,0,No Failure,397,4567.58476,-1.036425399,-0.191013917,1,-0.424576969,-0.775819158,-0.629067477,-0.666097068,0.432761678,-0.061994732
115,L47522,L,297.4,308.2,1471,46.5,25,0,No Failure,944,4019.410836,0.078185891,1.681904433,1,0.641953314,0.787382272,-0.406775491,-0.158830697,0.496549626,0.126446366
116,L47523,L,297.5,308.3,1388,48.6,27,0,No Failure,1115,3848.253168,-0.123117777,0.018732316,1,-1.014380908,-0.142223482,-0.512502259,-0.202165255,0.017327134,0.282095017
117,M15204,M,297.5,308.2,2448,13.8,29,0,No Failure,1484,3480.927995,-1.053453396,0.991214674,0,1.844747966,-0.657235711,-0.144344225,-0.069580572,-0.278777411,0.442362323
118,L47525,L,297.5,308.3,1585,32.9,32,0,No Failure,1497,3468.083691,-1.195674662,-0.337029114,1,-1.765778531,-0.100485723,-0.034063812,0.168922406,-0.702282004,0.206349086
119,M15206,M,297.5,308.3,1459,45.2,34,0,No Failure,653,4316.564534,1.499906458,0.127925821,1,1.079404287,1.904231533,0.358744781,0.322815983,-0.321648303,0.106586152
120,L47527,L,297.5,308.3,1544,40.8,37,0,No Failure,2450,2520.900453,-0.138486899,-0.714208027,0,-0.517957044,-1.157431064,0.024753174,0.027216725,-0.397891528,0.308883213
121,L47528,L,297.6,308.3,1617,31.7,39,0,No Failure,4616,356.2922971,0.53980564,-1.461790406,0,0.661327825,0.479152306,0.110132975,0.162266885,-0.045461424,-0.004261552
122,L47529,L,297.6,308.3,1595,34.3,41,0,No Failure,1369,3604.122522,0.139061492,-1.126308292,0,0.932864362,-0.283114819,0.063484738,0.370099889,0.443044549,-0.198245035
123,H29764,H,297.6,308.3,1400,44.3,43,0,No Failure,1360,3612.921791,-0.426206774,1.566139391,1,-0.766727843,-0.399340085,-0.228907979,0.370042373,0.682132604,0.338904466
124,M15211,M,297.6,308.4,1611,31,48,0,No Failure,284,4688.63141,0.021910167,-0.253290306,1,-1.490641084,0.316548668,-0.204161316,0.608031947,0.030065462,0.263158535
125,M15212,M,297.6,308.4,1507,46,51,0,No Failure,4663,307.548718,0.536763899,1.047942495,0,0.964986339,0.363693739,-0.036821965,0.363614406,-0.147682747,0.280247556
126,H29767,H,297.5,308.3,1674,30,54,0,No Failure,2510,2461.315457,1.57897066,0.98073946,1,0.194462175,0.736233323,-0.245132491,0.599673878,-0.408250963,0.579074492
127,L47534,L,297.6,308.3,1658,34.3,59,0,No Failure,4531,439.6990397,0.138773913,0.06913198,1,0.063884875,-1.017418438,-0.326193876,0.349482376,-0.602592593,0.839104732
128,L47535,L,297.6,308.3,1623,36.9,61,0,No Failure,2309,2665.031361,0.763741097,-1.69419632,0,0.354711854,0.441481516,-0.035892692,-0.022036841,-0.584475961,0.642350057
129,M15216,M,297.6,308.4,1398,48.9,63,0,No Failure,3772,1202.965396,-1.200177539,-1.142031349,1,-0.98641767,-1.387392865,-0.377337468,0.101879731,-0.048086338,0.356917218
130,L47537,L,297.6,308.4,1517,34.2,66,0,No Failure,4783,191.7188617,1.717061261,-0.254898586,0,-0.363352904,2.060817834,0.05538248,0.234809862,0.261459817,-0.174689898
131,M15218,M,297.6,308.3,1467,36.7,68,0,No Failure,1981,2996.65129,0.328013148,0.009031309,1,0.644429119,-0.981285356,0.342034181,-0.21780773,0.114385702,-0.199630631
132,M15219,M,297.6,308.3,1567,34.6,71,0,No Failure,4396,581.8865082,-1.71882217,0.159715143,1,1.377063729,-1.445967945,0.386409384,-0.275505772,0.133947545,-0.306321547
133,M15220,M,297.5,308.3,1521,38.2,74,0,No Failure,621,4357.411843,1.383323954,0.987751794,1,-1.879211283,2.19144247,0.335037185,0.301772732,-0.216405223,-0.441186254
134,L47541,L,297.5,308.3,1596,36.8,77,0,No Failure,1987,2990.652483,-0.535526882,0.405699424,1,1.751113864,-1.355555483,0.522575643,0.034679002,-0.702756364,-0.526169494
135,H29776,H,297.6,308.3,1640,30.9,79,0,No Failure,2652,2327.164022,-0.5460267,-0.990269157,1,-0.879866273,-0.007433346,0.398355311,0.053172563,-0.978994329,-0.404237019
136,L47543,L,297.6,308.3,1438,47.8,84,0,No Failure,3909,1069.622691,0.039522938,0.106840524,1,-0.212287203,0.41363566,0.29833826,0.431241446,-0.96830181,-0.523398301
137,L47544,L,297.6,308.4,1407,55.2,86,0,No Failure,4983,-5.634761388,1.167570352,-1.5920487,1,1.038490396,0.796873993,0.607225723,0.183762256,-0.837864914,-0.680432549
138,L47545,L,297.6,308.4,1353,57.5,88,0,No Failure,4255,721.3912609,0.047855303,-1.444003913,1,-1.034396949,-0.791019591,0.474577363,-0.205970901,-0.590566537,-0.859174472
139,M15226,M,297.6,308.5,1552,40.9,90,0,No Failure,4773,203.7302745,-0.443059077,-0.975490397,1,0.648700524,-0.346814047,0.641076976,0.016316087,-0.510854679,-0.226880692
140,M15227,M,297.6,308.4,1569,38.3,93,0,No Failure,4516,463.358308,1.344317716,-0.936806563,1,-0.794280808,1.262646025,0.367204128,-0.218315187,-0.580950544,0.180022756
141,L47548,L,297.5,308.4,1489,39.5,96,0,No Failure,3579,1401.820439,-1.197873013,0.759025004,1,1.233644088,-1.795903355,0.614346528,-0.704182004,-0.585110442,0.208658413
142,H29783,H,297.5,308.4,1587,36.1,98,0,No Failure,1509,3472.242439,-0.781095435,-0.355556817,0,-0.522828793,0.294409508,0.42921884,-0.30338766,-0.892412574,0.404489358
143,M15230,M,297.5,308.3,1622,37.2,103,0,No Failure,1794,3187.546774,1.159290243,-1.045444622,0,0.02342316,1.370736551,0.118347503,-0.225738882,-0.892458072,0.560138009
144,L47551,L,297.5,308.4,1604,38.1,106,0,No Failure,4764,215.885354,-1.616215446,-1.32596972,1,-0.908504894,-1.960724742,-0.254060846,-0.521150719,-0.618063988,0.251150033
145,M15232,M,297.4,308.3,1405,51.7,108,0,No Failure,626,4353.646093,-1.08501637,-0.957606054,1,1.048086363,0.37524063,0.069705523,-0.216946903,-0.134783915,-0.222262038
